boat_id,lat,lon,time,icebreaker_id
ДЮК II,72.172,123.941,2023-06-01T08:00:00,50 лет Победы
ДЮК II,72.182,124.951,2023-06-01T08:10:00,Ямал
ДЮК II,72.192,125.961,2023-06-01T08:20:00,
САРМАТ,73.272,126.041,2023-06-02T09:00:00,Вайгач
САРМАТ,73.282,127.051,2023-06-02T09:10:00,50 лет Победы
САРМАТ,73.292,128.061,2023-06-02T09:20:00,
EDUARD TOLL,74.372,129.141,2023-06-03T10:00:00,Таймыр
EDUARD TOLL,74.382,130.151,2023-06-03T10:10:00,Вайгач
EDUARD TOLL,74.392,131.161,2023-06-03T10:20:00,
GEORGIY USHAKOV,75.472,132.241,2023-06-04T11:00:00,50 лет Победы
GEORGIY USHAKOV,75.482,133.251,2023-06-04T11:10:00,
GEORGIY USHAKOV,75.492,134.261,2023-06-04T11:20:00,Ямал
RUDOLF SAMOYLOVICH,76.572,135.341,2023-06-05T12:00:00,Таймыр
RUDOLF SAMOYLOVICH,76.582,136.351,2023-06-05T12:10:00,
RUDOLF SAMOYLOVICH,76.592,137.361,2023-06-05T12:20:00,Вайгач
VLADIMIR VORONIN,77.672,138.441,2023-06-06T13:00:00,50 лет Победы
VLADIMIR VORONIN,77.682,139.451,2023-06-06T13:10:00,Ямал
VLADIMIR VORONIN,77.692,140.461,2023-06-06T13:20:00,
NIKOLAY YEVGENOV,78.772,141.541,2023-06-07T14:00:00,Таймыр
NIKOLAY YEVGENOV,78.782,142.551,2023-06-07T14:10:00,Вайгач
